Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059037W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059037W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059037W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059037W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059034W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059033W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059034W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059035W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059037W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059037W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 42	Raw Lat: 4254151N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254151N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254151N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254151N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 43	Raw Lat: 4254150N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059039W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059038W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254148N	Raw Long: 07059038W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254148N	Raw Long: 07059038W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254148N	Raw Long: 07059038W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254148N	Raw Long: 07059039W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254148N	Raw Long: 07059039W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254148N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059041W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059041W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 58	Raw Lat: 4254149N	Raw Long: 07059040W	Parameter: 0.3	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 59	Raw Lat: 4254150N	Raw Long: 07059040W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 59	Raw Lat: 4254150N	Raw Long: 07059040W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 59	Raw Lat: 4254150N	Raw Long: 07059040W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 59	Raw Lat: 4254150N	Raw Long: 07059040W	Parameter: 0.2	
