year,nestID,birdID,sex,sex_method,location,location_cat,egg_num,obs_num,obs_date,obs_date_cal,hatch1_date,hatch1_cal,days_pre_hatch,response,latency,mate_present,notes
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,3,6/5/19,156,6/10/19,161,5,6,187,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,4,6/9/19,160,6/10/19,161,1,6,102,,
2019,19G58,3HZ,M,m,DDF,loose subcolony,3,5,6/16/19,167,6/10/19,161,-6,7,99,,
2019,19G46,3P2,M,g,HTP,campus,3,1,5/27/19,147,5/27/19,147,0,5,0,,
2019,19G46,3P2,M,g,HTP,campus,3,2,5/31/19,151,5/27/19,147,-4,6,52,,
2019,19G49,4AC,,,Broad,loose subcolony,3,1,6/1/19,152,6/10/19,161,9,8,17,,
2019,19G49,4AC,,,Broad,loose subcolony,3,2,6/5/19,156,6/10/19,161,5,7,234,,
2019,19G49,4AC,,,Broad,loose subcolony,3,3,6/9/19,160,6/10/19,161,1,6,192,,
2019,19G49,4AC,,,Broad,loose subcolony,3,4,6/12/19,163,6/10/19,161,-2,5,24,,
2019,19G49,4AC,,,Broad,loose subcolony,3,5,6/16/19,167,6/10/19,161,-6,8,37,,
2019,19G50,4FV,,,Siren's,dense subcolony,3,1,5/28/19,148,6/4/19,155,7,6,204,,
2019,19G50,4FV,,,Siren's,dense subcolony,3,2,6/1/19,152,6/4/19,155,3,5,16,,
2019,19G50,4FV,,,Siren's,dense subcolony,3,3,6/5/19,156,6/4/19,155,-1,6,65,,
2019,19G50,4FV,,,Siren's,dense subcolony,3,4,6/9/19,160,6/4/19,155,-5,6,127,,
2019,19G59,4HZ,,,North Head,dense subcolony,3,1,5/28/19,148,6/7/19,158,10,8,49,,
2019,19G59,4HZ,,,North Head,dense subcolony,3,2,6/1/19,152,6/7/19,158,6,8,184,,
2019,19G59,4HZ,,,North Head,dense subcolony,3,3,6/5/19,156,6/7/19,158,2,7,34,,
2019,19G59,4HZ,,,North Head,dense subcolony,3,4,6/8/19,159,6/7/19,158,-1,8,133,,
2019,19G59,4HZ,,,North Head,dense subcolony,3,5,6/12/19,163,6/7/19,158,-5,8,43,,
2019,19G60,5HZ,,,North Head,dense subcolony,3,1,5/28/19,148,6/1/19,152,4,4,39,,
2019,19G60,5HZ,,,North Head,dense subcolony,3,2,6/1/19,152,6/1/19,152,0,5,45,,
2019,19G60,5HZ,,,North Head,dense subcolony,3,3,6/5/19,156,6/1/19,152,-4,5,7,,
2019,19G22,6HU,,,PK --> Laighton,campus,3,1,5/31/19,151,6/18/19,169,18,7,215,,
2019,19G22,6HU,,,PK --> Laighton,campus,3,2,6/4/19,155,6/18/19,169,14,7,300,,
2019,19G22,6HU,,,PK --> Laighton,campus,3,3,6/8/19,159,6/18/19,169,10,6,6,,
2019,19G22,6HU,,,PK --> Laighton,campus,3,4,6/12/19,163,6/18/19,169,6,4,0,,
2019,19G22,6HU,,,PK --> Laighton,campus,3,5,6/16/19,167,6/18/19,169,2,4,0,,
2019,19G22,6HU,,,PK --> Laighton,campus,3,6,6/20/19,171,6/18/19,169,-2,6,196,,
2019,19G45,6HY,,,dock,campus,3,1,5/29/19,149,6/3/19,154,5,8,48,,
2019,19G45,6HY,,,dock,campus,3,2,6/1/19,152,6/3/19,154,2,8,222,,
2019,19G45,6HY,,,dock,campus,3,3,6/4/19,155,6/3/19,154,-1,7,167,,
2019,19G61,6HZ,,,North Head,dense subcolony,3,1,5/28/19,148,5/29/19,149,1,8,173,,
2019,19G61,6HZ,,,North Head,dense subcolony,3,2,6/2/19,153,5/29/19,149,-4,5,2,,
2019,19G61,6HZ,,,North Head,dense subcolony,3,3,6/5/19,156,5/29/19,149,-7,8,107,,
2019,19G49,6P5,M,g,Broad,loose subcolony,3,1,5/28/19,148,6/10/19,161,13,5,4,,
2019,19G49,6P5,M,g,Broad,loose subcolony,3,2,6/1/19,152,6/10/19,161,9,6,63,,
2019,19G49,6P5,M,g,Broad,loose subcolony,3,3,6/5/19,156,6/10/19,161,5,6,28,,
2019,19G49,6P5,M,g,Broad,loose subcolony,3,4,6/9/19,160,6/10/19,161,1,6,44,,
2019,19G49,6P5,M,g,Broad,loose subcolony,3,5,6/12/19,163,6/10/19,161,-2,6,206,,
2019,19G49,6P5,M,g,Broad,loose subcolony,3,6,6/16/19,167,6/10/19,161,-6,6,261,,
2019,19G53,8HY,,,FMS 21,dense subcolony,3,1,5/28/19,148,6/7/19,158,10,8,300,,
2019,19G53,8HY,,,FMS 21,dense subcolony,3,2,6/1/19,152,6/7/19,158,6,8,49,,
2019,19G53,8HY,,,FMS 21,dense subcolony,3,3,6/5/19,156,6/7/19,158,2,8,4,,
2019,19G53,8HY,,,FMS 21,dense subcolony,3,4,6/9/19,160,6/7/19,158,-2,7,14,,
2019,19G62,8HZ,,,Larus,dense subcolony,3,1,5/28/19,148,5/28/19,148,0,7,145,,
2019,19G62,8HZ,,,Larus,dense subcolony,3,2,6/1/19,152,5/28/19,148,-4,7,203,,
2019,19G62,8HZ,,,Larus,dense subcolony,3,3,6/5/19,156,5/28/19,148,-8,5,217,,
2019,19G23,9EF,,,PK --> radar,campus,3,1,5/31/19,151,6/9/19,160,9,5,15,,
2019,19G23,9EF,,,PK --> radar,campus,3,2,6/4/19,155,6/9/19,160,5,5,18,,
2019,19G23,9EF,,,PK --> radar,campus,3,3,6/8/19,159,6/9/19,160,1,5,20,,
2019,19G23,9EF,,,PK --> radar,campus,3,4,6/12/19,163,6/9/19,160,-3,6,34,,
2019,19G54,9HY,,,Gerry's,dense subcolony,3,1,5/29/19,149,6/13/19,164,15,8,73,,
2019,19G54,9HY,,,Gerry's,dense subcolony,3,2,6/1/19,152,6/13/19,164,12,8,277,,
2019,19G54,9HY,,,Gerry's,dense subcolony,3,3,6/5/19,156,6/13/19,164,8,5,229,,
2019,19G54,9HY,,,Gerry's,dense subcolony,3,4,6/8/19,159,6/13/19,164,5,6,37,,
2019,19G54,9HY,,,Gerry's,dense subcolony,3,5,6/12/19,163,6/13/19,164,1,5,163,,
2019,19G54,9HY,,,Gerry's,dense subcolony,3,6,6/16/19,167,6/13/19,164,-3,8,43,,
2019,19G62,9HZ,,,Larus,dense subcolony,3,1,6/1/19,152,5/28/19,148,-4,6,29,,
2019,19G62,9HZ,,,Larus,dense subcolony,3,2,6/5/19,156,5/28/19,148,-8,7,43,,
2019,19G03,U19G03,,,Dive Locker,campus,3,1,5/29/19,149,6/9/19,160,11,6,133,,
2019,19G03,U19G03,,,Dive Locker,campus,3,2,6/1/19,152,6/9/19,160,8,7,35,,
2019,19G03,U19G03,,,Dive Locker,campus,3,3,6/4/19,155,6/9/19,160,5,6,7,,
2019,19G03,U19G03,,,Dive Locker,campus,3,4,6/8/19,159,6/9/19,160,1,6,27,,
2019,19G03,U19G03,,,Dive Locker,campus,3,5,6/12/19,163,6/9/19,160,-3,6,16,,
2019,19G41,U19G41,,,Norwegian,dense subcolony,3,1,6/1/19,152,6/3/19,154,2,8,300,,
2019,19G41,U19G41,,,Norwegian,dense subcolony,3,2,6/5/19,156,6/3/19,154,-2,8,107,,
2019,19G42,U19G42,,,FMS 24,dense subcolony,3,1,6/1/19,152,6/8/19,159,7,7,91,,
2019,19G42,U19G42,,,FMS 24,dense subcolony,3,2,6/5/19,156,6/8/19,159,3,7,300,,
2019,19G42,U19G42,,,FMS 24,dense subcolony,3,3,6/9/19,160,6/8/19,159,-1,7,216,,
2019,19G42,U19G42,,,FMS 24,dense subcolony,3,4,6/12/19,163,6/8/19,159,-4,7,300,,
2019,19G43,U19G43,,,incinerator,loose subcolony,3,1,5/28/19,148,6/10/19,161,13,5,13,,
2019,19G43,U19G43,,,incinerator,loose subcolony,3,2,6/1/19,152,6/10/19,161,9,5,7,,
2019,19G43,U19G43,,,incinerator,loose subcolony,3,3,6/5/19,156,6/10/19,161,5,4,0,,
2019,19G43,U19G43,,,incinerator,loose subcolony,3,4,6/9/19,160,6/10/19,161,1,4,0,,
2019,19G43,U19G43,,,incinerator,loose subcolony,3,5,6/12/19,163,6/10/19,161,-2,6,163,,
2019,19G43,U19G43,,,incinerator,loose subcolony,3,6,6/16/19,167,6/10/19,161,-6,8,49,,
2019,19G45,U19G45,,,dock,campus,3,1,5/28/19,148,6/3/19,154,6,8,27,,
2019,19G45,U19G45,,,dock,campus,3,2,6/2/19,153,6/3/19,154,1,6,193,,
2019,19G45,U19G45,,,dock,campus,3,3,6/5/19,156,6/3/19,154,-2,7,300,,
2019,19G46,U19G46,,,HTP,campus,3,1,5/31/19,151,5/27/19,147,-4,5,200,,
2019,19G53,U19G53,,,FMS 21,dense subcolony,3,1,6/1/19,152,6/7/19,158,6,7,300,,
2019,19G53,U19G53,,,FMS 21,dense subcolony,3,2,6/5/19,156,6/7/19,158,2,8,29,,
2019,19G53,U19G53,,,FMS 21,dense subcolony,3,3,6/10/19,161,6/7/19,158,-3,7,32,,
